id_aliment,type_legume
14,Legume-fruit
15,Tubercule
16,Legume-feuille
17,Legume-fruit
18,Bulbe
19,Legume-fruit
20,Legume-fruit
21,Racine
22,Racine
23,Racine
24,Legume-fleur
25,Legume-feuille
26,Pousse
27,Legume-feuille
28,Tige
29,Bulbe
30,Gousse
31,Legume-feuille
32,Legume-fleur
33,Legume-feuille
34,Legume-feuille
35,Legume-fruit
36,Legume-fruit
37,Legume-fruit
38,Racine
39,Tubercule
40,Racine
41,Racine
42,Tubercule
43,Legume-feuille
44,Legume-feuille
45,Legume-feuille
46,Tubercule
47,Legume-fleur
48,Legume-feuille
49,Tige
50,Tige
51,Graine
52,Graine
53,Graine
54,Graine
55,Legume-fruit
56,Legume-fruit
57,Legume-fruit
58,Bulbe
59,Bulbe
60,Legume-feuille
61,Legume-fleur
