id_notation,note,commentaire,date_notation
1,5,Memorable,"TO_TIMESTAMP(2025-03-22 20:06:33, YYYY-MM-DD HH24:MI:SS)"
2,4,Parfait,"TO_TIMESTAMP(2025-08-13 00:49:52, YYYY-MM-DD HH24:MI:SS)"
3,5,Un peu trop cuit,"TO_TIMESTAMP(2023-07-22 23:28:15, YYYY-MM-DD HH24:MI:SS)"
4,5,Memorable,"TO_TIMESTAMP(2025-07-24 05:59:29, YYYY-MM-DD HH24:MI:SS)"
5,4,Memorable,"TO_TIMESTAMP(2023-04-27 21:59:18, YYYY-MM-DD HH24:MI:SS)"
6,5,Memorable,"TO_TIMESTAMP(2025-10-04 17:59:34, YYYY-MM-DD HH24:MI:SS)"
7,2,Un delice absolu,"TO_TIMESTAMP(2023-02-01 10:51:49, YYYY-MM-DD HH24:MI:SS)"
8,5,Parfait,"TO_TIMESTAMP(2023-03-04 07:54:05, YYYY-MM-DD HH24:MI:SS)"
9,4,Parfait,"TO_TIMESTAMP(2024-04-22 00:52:07, YYYY-MM-DD HH24:MI:SS)"
10,4,Un peu trop cuit,"TO_TIMESTAMP(2023-07-07 17:44:36, YYYY-MM-DD HH24:MI:SS)"
11,3,Manque de fromage,"TO_TIMESTAMP(2025-04-21 01:03:43, YYYY-MM-DD HH24:MI:SS)"
12,5,Un peu trop cuit,"TO_TIMESTAMP(2026-10-03 08:18:52, YYYY-MM-DD HH24:MI:SS)"
13,5,Manque de fromage,"TO_TIMESTAMP(2024-11-26 20:36:15, YYYY-MM-DD HH24:MI:SS)"
14,2,Memorable,"TO_TIMESTAMP(2025-05-30 05:46:12, YYYY-MM-DD HH24:MI:SS)"
15,3,Incroyable,"TO_TIMESTAMP(2024-07-24 02:52:48, YYYY-MM-DD HH24:MI:SS)"
16,4,Incroyable,"TO_TIMESTAMP(2024-05-04 05:01:53, YYYY-MM-DD HH24:MI:SS)"
17,3,A refaire tres vite,"TO_TIMESTAMP(2024-03-21 02:54:09, YYYY-MM-DD HH24:MI:SS)"
18,5,Excellent,"TO_TIMESTAMP(2025-04-10 10:47:16, YYYY-MM-DD HH24:MI:SS)"
19,3,Un delice absolu,"TO_TIMESTAMP(2026-05-28 09:05:26, YYYY-MM-DD HH24:MI:SS)"
20,4,Excellent,"TO_TIMESTAMP(2024-02-02 12:15:50, YYYY-MM-DD HH24:MI:SS)"
21,2,Incroyable,"TO_TIMESTAMP(2024-09-30 17:38:27, YYYY-MM-DD HH24:MI:SS)"
